iter	RMSE
0	560.2485642
1	540.3020679
2	521.5496654
3	504.3017565
4	487.9561426
5	472.4129554
6	457.8423862
7	444.0075827
8	430.7336103
9	418.4425369
10	406.9986601
11	396.3694599
12	386.5494133
13	377.1718881
14	368.3259823
15	359.9937984
16	352.2859305
17	345.0085965
18	338.2420327
19	331.9432281
20	325.8749467
21	320.4426632
22	315.2894841
23	310.3090273
24	305.7187336
25	301.1185869
26	297.0730504
27	293.1795526
28	289.373954
29	286.0799892
30	282.9474108
31	279.821637
32	276.9970513
33	274.3461443
34	271.7337023
35	269.5692468
36	267.3088862
37	265.2262338
38	263.2360321
39	261.2422214
40	259.3918533
41	257.671525
42	256.1054442
43	254.5082525
44	253.0565486
45	251.6993057
46	250.4159618
47	249.132297
48	247.9783777
49	246.8317287
50	245.8502168
51	244.7982561
52	243.8663401
53	242.9563249
54	242.0732012
55	241.2098023
56	240.4244962
57	239.6979433
58	239.0795731
59	238.356925
60	237.7014071
61	237.0807615
62	236.4770085
63	235.9000838
64	235.3501363
65	234.8372059
66	234.335866
67	233.8566856
68	233.3980787
69	232.9372987
70	232.4766626
71	232.049966
72	231.6695269
73	231.3498254
74	230.9545568
75	230.5614899
76	230.2266197
77	229.9861829
78	229.6318325
79	229.3294074
80	228.9824211
81	228.7284196
82	228.4299601
83	228.1798938
84	227.9193402
85	227.6700892
86	227.4129197
87	227.2001077
88	227.0164398
89	226.8206383
90	226.5948488
91	226.4006286
92	226.2371708
93	226.0133661
94	225.8447975
95	225.6273214
96	225.4561583
97	225.3138803
98	225.1500624
99	225.0041696
100	224.8770852
101	224.7022977
102	224.5615953
103	224.3861521
104	224.2712665
105	224.1414146
106	223.9844339
107	223.8494963
108	223.735749
109	223.6430974
110	223.5265027
111	223.3588268
112	223.2000033
113	223.0819683
114	222.973605
115	222.8785293
116	222.7683166
117	222.6789794
118	222.5936502
119	222.5040195
120	222.42611
121	222.3497142
122	222.2780766
123	222.1905778
124	222.0907688
125	221.9960891
126	221.919049
127	221.8268412
128	221.7494575
129	221.6472179
130	221.5575438
131	221.5096617
132	221.45241
133	221.3476899
134	221.2715845
135	221.1666998
136	221.1198722
137	221.0448705
138	220.9945723
139	220.93251
140	220.8639498
141	220.8245505
142	220.7175241
143	220.6568451
144	220.6125126
145	220.5306851
146	220.4460483
147	220.3844447
148	220.3427169
149	220.2976065
150	220.2426154
151	220.2136358
152	220.1420491
153	220.1110739
154	220.0858891
155	220.0566217
156	220.0040323
157	219.9646406
158	219.8925273
159	219.8502471
160	219.7800216
161	219.7338732
162	219.719826
163	219.6660936
164	219.6482228
165	219.6357114
166	219.5535803
167	219.4988683
168	219.4273148
169	219.3651232
170	219.3301853
171	219.2997802
172	219.2483567
173	219.2116659
174	219.1615548
175	219.1425419
176	219.1040991
177	219.0323934
178	218.9670262
179	218.9111388
180	218.884639
181	218.8471634
182	218.8208732
183	218.7866943
184	218.744635
185	218.6972792
186	218.675951
187	218.6339942
188	218.6091707
189	218.5365274
190	218.4676674
191	218.4411618
192	218.4182331
193	218.3737045
194	218.3011845
195	218.288143
196	218.2540606
197	218.2252824
198	218.2049438
199	218.1661486
200	218.1350203
201	218.0530022
202	218.0137123
203	217.9765261
204	217.9587819
205	217.9305662
206	217.9124086
207	217.8699379
208	217.8017162
209	217.7468156
210	217.6954559
211	217.6575414
212	217.6318906
213	217.5930933
214	217.5713971
215	217.5332802
216	217.5210666
217	217.4998724
218	217.465406
219	217.4382908
220	217.3923157
221	217.320363
222	217.2982265
223	217.2571659
224	217.2003606
225	217.1608899
226	217.1153476
227	217.0688947
228	217.0310808
229	216.9830038
230	216.9660779
231	216.9219784
232	216.9140694
233	216.8796267
234	216.851104
235	216.7916327
236	216.7168396
237	216.6812442
238	216.6406741
239	216.6071171
240	216.5815399
241	216.5442086
242	216.5311872
243	216.4811831
244	216.4630177
245	216.4172573
246	216.3893347
247	216.3606895
248	216.3381868
249	216.2674698
250	216.2195096
251	216.1562763
252	216.1491464
253	216.1320413
254	216.1061552
255	216.0930297
256	216.0384284
257	216.0226461
258	215.9962986
259	215.952911
260	215.9067164
261	215.9049544
262	215.8969643
263	215.8665315
264	215.8359773
265	215.7973863
266	215.776521
267	215.7565611
268	215.7340422
269	215.7187451
270	215.6878047
271	215.6572118
272	215.5984529
273	215.5865781
274	215.5609335
275	215.5523981
276	215.5278977
277	215.5006092
278	215.454298
279	215.4266284
280	215.4044567
281	215.3832772
282	215.287196
283	215.2436643
