iter	Passed	Remaining
0	129	387160
1	190	284861
2	245	244836
3	296	221959
4	340	204037
5	385	192263
6	431	184422
7	477	178550
8	521	173313
9	570	170635
10	615	167245
11	666	166015
12	707	162616
13	753	160685
14	795	158390
15	837	156223
16	879	154288
17	924	153198
18	969	152120
19	1010	150631
20	1059	150272
21	1099	148885
22	1147	148520
23	1197	148547
24	1240	147641
25	1286	147149
26	1332	146756
27	1376	146149
28	1427	146291
29	1476	146139
30	1525	146133
31	1575	146130
32	1620	145688
33	1666	145377
34	1715	145311
35	1760	144930
36	1801	144234
37	1849	144149
38	1896	144023
39	1944	143878
40	2010	145134
41	2067	145579
42	2120	145841
43	2172	145934
44	2225	146156
45	2282	146564
46	2327	146248
47	2376	146180
48	2423	145926
49	2473	145965
50	2529	146279
51	2585	146568
52	2635	146569
53	2686	146576
54	2736	146510
55	2784	146382
56	2837	146524
57	2890	146608
58	2944	146796
59	2996	146814
60	3044	146706
61	3094	146659
62	3144	146576
63	3192	146447
64	3243	146464
65	3289	146224
66	3334	145983
67	3388	146102
68	3442	146212
69	3489	146044
70	3531	145702
71	3580	145621
72	3628	145468
73	3677	145420
74	3726	145326
75	3772	145142
76	3821	145072
77	3872	145076
78	3921	144986
79	3974	145055
80	4022	144949
81	4075	145021
82	4124	144961
83	4178	145046
84	4232	145153
85	4282	145109
86	4326	144873
87	4371	144644
88	4425	144734
89	4475	144697
90	4532	144875
91	4582	144845
92	4632	144792
93	4682	144763
94	4729	144617
95	4781	144632
96	4844	144982
97	4893	144895
98	4953	145151
99	5007	145207
100	5059	145208
101	5107	145120
102	5159	145125
103	5208	145023
104	5250	144772
105	5296	144613
106	5353	144734
107	5403	144693
108	5460	144828
109	5519	145004
110	5567	144908
111	5619	144892
112	5668	144823
113	5719	144803
114	5768	144713
115	5820	144715
116	5873	144730
117	5923	144667
118	5979	144752
119	6033	144810
120	6086	144819
121	6137	144789
122	6188	144746
123	6242	144783
124	6291	144697
125	6341	144653
126	6391	144577
127	6440	144509
128	6482	144262
129	6537	144335
130	6586	144244
131	6639	144255
132	6685	144120
133	6730	143950
134	6779	143868
135	6835	143945
136	6887	143928
137	6943	143993
138	6995	143989
139	7051	144054
140	7105	144074
141	7158	144083
142	7207	144006
143	7258	143956
144	7307	143890
145	7356	143802
146	7409	143802
147	7458	143720
148	7511	143723
149	7556	143564
150	7606	143508
151	7660	143526
152	7709	143456
153	7764	143490
154	7806	143281
155	7855	143217
156	7903	143119
157	7948	142973
158	7993	142822
159	8043	142776
160	8094	142734
161	8141	142628
162	8175	142300
163	8224	142227
164	8274	142178
165	8311	141895
166	8360	141830
167	8409	141764
168	8451	141572
169	8501	141528
170	8554	141527
171	8608	141544
172	8663	141566
173	8706	141402
174	8759	141397
175	8815	141442
176	8860	141310
177	8908	141240
178	8963	141265
179	9013	141213
180	9061	141126
181	9109	141042
182	9144	140767
183	9194	140722
184	9242	140640
185	9292	140583
186	9341	140526
187	9382	140339
188	9440	140402
189	9495	140432
190	9542	140346
191	9586	140197
192	9634	140123
193	9684	140071
194	9730	139970
195	9777	139881
196	9821	139741
197	9878	139789
198	9921	139645
199	9962	139480
200	10018	139515
201	10066	139441
202	10125	139512
203	10167	139357
204	10225	139416
205	10278	139402
206	10319	139241
207	10369	139187
208	10431	139309
209	10478	139213
210	10530	139191
211	10587	139230
212	10642	139251
213	10694	139226
214	10746	139209
215	10800	139210
216	10848	139132
217	10904	139152
218	10955	139122
219	11005	139074
220	11073	139241
221	11119	139146
222	11178	139207
223	11222	139080
224	11275	139064
225	11326	139028
226	11364	138832
227	11413	138767
228	11459	138667
229	11502	138531
230	11554	138507
231	11612	138547
232	11658	138453
233	11703	138344
234	11756	138325
235	11815	138378
236	11858	138247
237	11909	138205
238	11964	138219
239	11998	137986
240	12048	137927
241	12105	137963
242	12152	137882
243	12216	137991
244	12264	137910
245	12316	137881
246	12359	137751
247	12409	137708
248	12465	137719
249	12511	137626
250	12555	137511
251	12601	137413
252	12660	137468
253	12709	137399
254	12759	137347
255	12817	137385
256	12853	137188
257	12908	137189
258	12958	137140
259	13019	137207
260	13065	137107
261	13119	137102
262	13158	136935
263	13221	137025
264	13268	136943
265	13317	136882
266	13367	136824
267	13412	136727
268	13466	136718
269	13514	136645
270	13555	136508
271	13613	136533
272	13658	136433
273	13709	136395
274	13772	136470
275	13828	136485
276	13881	136455
277	13923	136330
278	13965	136202
279	14011	136114
280	14052	135977
281	14112	136019
282	14158	135932
283	14202	135820
284	14244	135699
285	14291	135624
286	14343	135588
287	14390	135510
288	14440	135459
289	14492	135426
290	14537	135335
291	14587	135288
292	14631	135178
293	14677	135097
294	14726	135036
295	14779	135010
296	14820	134877
297	14869	134822
298	14934	134913
299	14982	134846
300	15025	134727
301	15089	134805
302	15141	134777
303	15199	134793
304	15238	134650
305	15290	134619
306	15346	134619
307	15398	134589
308	15444	134499
309	15500	134507
310	15555	134500
311	15614	134524
312	15663	134464
313	15709	134382
314	15758	134320
315	15816	134339
316	15871	134334
317	15936	134403
318	15985	134351
319	16023	134196
320	16067	134097
321	16128	134139
322	16172	134035
323	16219	133960
324	16264	133869
325	16320	133871
326	16373	133840
327	16424	133801
328	16479	133788
329	16534	133781
330	16592	133792
331	16652	133821
332	16702	133771
333	16755	133742
334	16818	133790
335	16861	133685
336	16913	133654
337	16962	133592
338	17010	133525
339	17047	133372
340	17088	133250
341	17132	133151
342	17183	133108
343	17234	133069
344	17282	133001
345	17326	132904
346	17365	132765
347	17413	132705
348	17465	132667
349	17503	132527
350	17557	132504
351	17622	132567
352	17675	132537
353	17720	132453
354	17761	132332
355	17797	132180
356	17856	132200
357	17909	132167
358	17959	132117
359	18002	132019
360	18049	131946
361	18098	131888
362	18157	131906
363	18223	131968
364	18283	131992
365	18341	131995
366	18390	131942
367	18438	131875
368	18493	131856
369	18552	131871
370	18600	131809
371	18660	131824
372	18719	131842
373	18768	131779
374	18817	131725
375	18867	131673
376	18918	131627
377	18964	131549
378	19014	131497
379	19068	131474
380	19108	131354
381	19156	131284
382	19198	131183
383	19241	131084
384	19288	131012
385	19348	131025
386	19391	130930
387	19427	130785
388	19480	130752
389	19525	130673
390	19570	130588
391	19622	130548
392	19678	130538
393	19731	130507
394	19783	130473
395	19834	130429
396	19886	130391
397	19942	130378
398	20000	130380
399	20058	130381
400	20126	130443
401	20176	130392
402	20231	130372
403	20286	130353
404	20344	130356
405	20397	130320
406	20446	130266
407	20493	130191
408	20541	130129
409	20604	130161
410	20658	130132
411	20715	130123
412	20768	130089
413	20808	129977
414	20863	129956
415	20921	129952
416	20972	129906
417	21015	129812
418	21059	129727
419	21100	129620
420	21145	129535
421	21205	129546
422	21262	129537
423	21316	129508
424	21358	129404
425	21415	129394
426	21463	129333
427	21509	129258
428	21566	129249
429	21623	129240
430	21673	129183
431	21723	129135
432	21784	129145
433	21839	129126
434	21888	129067
435	21941	129033
436	21994	128999
437	22044	128948
