feature,importance
gpu_tier,16.167534135289564
ram_gb,15.50728665824363
display_type,9.858785585654637
cpu_tier,8.39497005972638
resolution,7.8022896953216385
os,6.359143247125494
brand,5.12259973981261
form_factor,4.018478273715844
display_size_in,2.565953724251358
release_year,2.518227215871568
storage_gb,2.459425707832754
cpu_brand,2.1295831039860396
charger_watts,1.9034417911527917
vram_gb,1.7864035098600415
refresh_hz,1.6647964890168616
storage_type,1.655893120753597
cpu_model,1.4072546938775188
model,1.4066171827038285
cpu_cores,1.365937597167476
gpu_model,1.3157159736956607
weight_kg,1.0722528810099858
device_type,0.7432314922971257
warranty_months,0.6199187079646454
cpu_threads,0.42420910947767876
psu_watts,0.36275653877514663
gpu_brand,0.3618037456145013
battery_wh,0.32738074504856307
wifi,0.23795557634778522
cpu_boost_ghz,0.20333827739023452
bluetooth,0.1203767341992829
cpu_base_ghz,0.0940510760742775
storage_drive_count,0.022387610741713193
